,ATELNO,Sources
26893,ATEL #12423,icecube-190124a
26894,ATEL #12424,PGC024003
26895,ATEL #12424,OT J122304.08-704334.6
26896,ATEL #12424,OT J083339.30+553553.8
26897,ATEL #12425,MAXI J1348-630
26898,ATEL #12426,ztf19aadnwvc
26899,ATEL #12426,sn2019ye
26900,ATEL #12427,TXS 2346+052
26901,ATEL #12428,sn2019yc
26902,ATEL #12428,at2019yc
26903,ATEL #12428,ngc0201
26904,ATEL #12428,sn2019yv
26905,ATEL #12428,ztf19aaedpuk
26906,ATEL #12428,ztf19aadnxat
26907,ATEL #12428,sn2019vu
26908,ATEL #12428,ngc3818
26909,ATEL #12429,HD 289473
26910,ATEL #12430,2MASS J13480967-6315325
26911,ATEL #12430,MAXI J1348-630
26912,ATEL #12431,asassn-19xx
26913,ATEL #12431,at2019xyz
26914,ATEL #12431,at2019aeg
26915,ATEL #12431,asassn-19bj
26916,ATEL #12432,pks0226-559
26917,ATEL #12432,PMN J0228-5546
26918,ATEL #12432,3FGL J0228.3-5545
26919,ATEL #12433,ztf19aadyppr
26920,ATEL #12433,m51
26921,ATEL #12433,at2019abn
26922,ATEL #12434,MAXI J1348-630
26923,ATEL #12435,sn2019yy
26924,ATEL #12435,ic3907
26925,ATEL #12435,sn2019aev
26926,ATEL #12435,ztf19aadyijk
26927,ATEL #12435,atlas19bsd
26928,ATEL #12435,atlas19bos
26929,ATEL #12435,ztf19aaejslw
26930,ATEL #12435,sn2019xg
26931,ATEL #12435,sn2019afa
26932,ATEL #12435,atlas19bub
26933,ATEL #12435,sn2019uq
26934,ATEL #12437,EXO 1722-363
26935,ATEL #12437,MAXI J1728-360
26936,ATEL #12438,MAXI J1631-479
26937,ATEL #12439,MAXI J1348-630
26938,ATEL #12440,MAXI J1631-479
26939,ATEL #12441,MAXI J1348-630
26940,ATEL #12443,MAXI J1728-360
26941,ATEL #12444,m31
26942,ATEL #12444,PNV J00422916+4114013
26943,ATEL #12444,at2019agt
26944,ATEL #12445,1RXS J172859.6-361438
26945,ATEL #12447,MAXI J1348-630
26946,ATEL #12449,atlas19car
26947,ATEL #12449,at2019ahd
26948,ATEL #12449,ngc3423
26949,ATEL #12451,atlas19car
26950,ATEL #12451,at2019ahd
26951,ATEL #12451,ngc3423
26952,ATEL #12452,at2019ahg
26953,ATEL #12452,atlas19cas
26954,ATEL #12452,ic0893
26955,ATEL #12453,asassn-19aj
26956,ATEL #12453,atlas19buo
26957,ATEL #12453,at2019zf
26958,ATEL #12453,atlas19bdy
26959,ATEL #12453,sn2019ro
26960,ATEL #12453,sn2019mh
26961,ATEL #12454,atlas19car
26962,ATEL #12454,at2019ahd
26963,ATEL #12454,ngc3423
26964,ATEL #12455,MAXI J1728-360
26965,ATEL #12456,pks1934-638
26966,ATEL #12456,MAXI J1348-630
26967,ATEL #12457,MAXI J1348-630
26968,ATEL #12459,atlas19bwq
26969,ATEL #12459,sn2019abu
26970,ATEL #12460,ztf19aaflnii
26971,ATEL #12460,sn2019abf
26972,ATEL #12460,sn2019ahg
26973,ATEL #12460,ztf19aacyqhc
26974,ATEL #12460,atlas19cas
26975,ATEL #12460,sn2019ajd
26976,ATEL #12460,atlas19bwd
26977,ATEL #12460,sn2019ajc
26978,ATEL #12460,sn2019aba
26979,ATEL #12460,ztf19aaeicsm
26980,ATEL #12460,ztf19aaefxwq
26981,ATEL #12460,sn2019ajb
26982,ATEL #12461,BZQ J1753+2848
26983,ATEL #12462,ps18kh
26984,ATEL #12462,asassn-19xx
26985,ATEL #12462,at2019ahk
26986,ATEL #12462,at2019xyz
26987,ATEL #12462,asassn-19bt
26988,ATEL #12462,2MASX J07001137-6602251
26989,ATEL #12463,PSR J1831-0952
26990,ATEL #12463,HESS J1831-098
26991,ATEL #12465,sn1990o
26992,ATEL #12465,at2019aik
26993,ATEL #12465,ngc3304
26994,ATEL #12466,PSR J0835-4510
26995,ATEL #12467,ztf19aadoocn
26996,ATEL #12467,OT J140216.0-533228
26997,ATEL #12467,2MASX J11562821+2000365
26998,ATEL #12467,sn2019xa
26999,ATEL #12469,MAXI J1348-630
27000,ATEL #12470,MAXI J1348-630
27001,ATEL #12471,MAXI J1348-630
27002,ATEL #12472,asassn-19bk
27003,ATEL #12472,asassn-19bi
27004,ATEL #12472,atlas19cdc
27005,ATEL #12472,ztf19aagviec
27006,ATEL #12472,asassn-19bx
27007,ATEL #12472,atlas19cau
27008,ATEL #12472,atlas19cde
27009,ATEL #12472,atlas19cbq
27010,ATEL #12472,asassn-19bs
27011,ATEL #12472,atlas19ccn
27012,ATEL #12472,asassn-19ah
27013,ATEL #12472,gaia19akc
27014,ATEL #12472,atlas19cct
27015,ATEL #12473,OT J135330.69-543614.8
27016,ATEL #12475,grb190114c
27017,ATEL #12476,at2018ahd
27018,ATEL #12477,MAXI J1348-630
27019,ATEL #12478,sn2018lfe
27020,ATEL #12478,ztf19aaapoxs
27021,ATEL #12478,sn2019go
27022,ATEL #12478,sn2019sw
27023,ATEL #12479,pks0346-27
27024,ATEL #12480,MAXI J1348-630
27025,ATEL #12482,PSR J0835-4510
27026,ATEL #12482,PSR B0833-45
27027,ATEL #12483,ngc3426
27028,ATEL #12483,ps19mq
27029,ATEL #12483,at2019ape
27030,ATEL #12484,XTE J1810-197
27031,ATEL #12485,sn2019zi
27032,ATEL #12485,sn1997ef
27033,ATEL #12485,ztf18aajffcx
27034,ATEL #12485,sn2019ape
27035,ATEL #12485,asassn-19co
27036,ATEL #12485,atlas19dcc
27037,ATEL #12485,ngc2893
27038,ATEL #12485,sn2019xj
27039,ATEL #12485,ps19mq
27040,ATEL #12485,atlas19bus
27041,ATEL #12485,sn2019amr
27042,ATEL #12485,ngc3426
27043,ATEL #12485,sn2019aos
27044,ATEL #12485,at2019aht
27045,ATEL #12485,gaia19afw
27046,ATEL #12486,ztf18aahsqfq
27047,ATEL #12486,sn2019amo
27048,ATEL #12486,atlas19cnn
27049,ATEL #12487,HD 314107
27050,ATEL #12487,MAXI J1810-222
27051,ATEL #12489,sn2019arb
27052,ATEL #12489,SDSS J121932.10+494856.7
27053,ATEL #12489,ztf19aahjhoy
27054,ATEL #12489,sn1999by
27055,ATEL #12490,sn2019amq
27056,ATEL #12490,sn2019asz
27057,ATEL #12490,sn2019aqm
27058,ATEL #12490,atlas19dga
27059,ATEL #12490,atlas19dfz
27060,ATEL #12490,sn1998s
27061,ATEL #12490,atlas19cnp
27062,ATEL #12490,sn2019aof
27063,ATEL #12490,sn2019ata
27064,ATEL #12490,sn2019aqn
27065,ATEL #12490,atlas19den
27066,ATEL #12490,sn2019asm
27067,ATEL #12490,ps19nx
27068,ATEL #12490,atlas19dbz
27069,ATEL #12490,atlas19del
27070,ATEL #12491,MAXI J1348-630
27071,ATEL #12493,ztf19aainjpz
27072,ATEL #12493,atlas19cdg
27073,ATEL #12493,at2019ahk
27074,ATEL #12493,sn2019all
27075,ATEL #12493,sn2019ako
27076,ATEL #12493,asassn-19bt
27077,ATEL #12494,4c+28.07
27078,ATEL #12494,3FGLJ0237.9+2848
27079,ATEL #12494,BZQJ0237+2848
27080,ATEL #12495,asassn-19cq
27081,ATEL #12496,MAXI J1810-222
27082,ATEL #12497,MAXI J1348-630
27083,ATEL #12498,4U 1901+03
27084,ATEL #12500,at2019aox
27085,ATEL #12500,gaia19amg
27086,ATEL #12501,2MASX J10013204+3915367
27087,ATEL #12501,ztf19aahulyd
27088,ATEL #12501,sn2019ava
27089,ATEL #12501,sn2019avi
27090,ATEL #12501,KUG 0728+583
27091,ATEL #12501,at2019ava
27092,ATEL #12501,ztf19aailexm
27093,ATEL #12501,at2019avi
27094,ATEL #12503,ztf19aailuvj
27095,ATEL #12503,sn2019awc
27096,ATEL #12504,MAXI J1631-479
27097,ATEL #12505,MAXI J1348-630
27098,ATEL #12506,at2019abn
27099,ATEL #12506,ngc5194
27100,ATEL #12507,asassn-19cq
27101,ATEL #12508,ztf19aakiznm
27102,ATEL #12508,atlas19dhw
27103,ATEL #12508,sn2019awq
27104,ATEL #12508,sn2019atg
27105,ATEL #12508,gaia19amv
27106,ATEL #12508,ztf19aafmvdb
27107,ATEL #12508,sn2019awd
27108,ATEL #12508,sn2019ahs
27109,ATEL #12509,ztf19aabbnzo
27110,ATEL #12509,at2018lna
27111,ATEL #12513,PNV J00412371+4114594
27112,ATEL #12513,m31
27113,ATEL #12513,m31n1968-10c
27114,ATEL #12513,m31n1966-08a
27115,ATEL #12514,4U 1901+03
27116,ATEL #12515,4U 1901+03
27117,ATEL #12516,at2019axz
27118,ATEL #12516,atlas19djo
27119,ATEL #12517,PKSJ0417-0250
27120,ATEL #12517,PKSB0415-029
27121,ATEL #12518,PMNJ0633-3350
27122,ATEL #12519,4U1901+03
27123,ATEL #12520,MAXI J1348-630
27124,ATEL #12521,MAXI J1810-222
27125,ATEL #12523,OT J144402.57-840648.2
27126,ATEL #12524,BZQJ0012+335
27127,ATEL #12524,OT J001247.38+335337.6
27128,ATEL #12525,PNV J09552547+6903458
27129,ATEL #12525,m81
27130,ATEL #12526,at2019azf
27131,ATEL #12526,asassn-19dj
27132,ATEL #12526,asassn-19di
27133,ATEL #12526,asassn-19co
27134,ATEL #12526,asassn-19bs
27135,ATEL #12526,asassn-19cy
27136,ATEL #12526,asassn-19ci
27137,ATEL #12526,asassn-19bk
27138,ATEL #12526,asassn-19xx
27139,ATEL #12526,at2019ahh
27140,ATEL #12526,asassn-19bx
27141,ATEL #12526,at2019azh
27142,ATEL #12526,at2019aex
27143,ATEL #12526,at2019azg
27144,ATEL #12526,at2019amr
27145,ATEL #12526,asassn-19dh
27146,ATEL #12526,at2019axf
27147,ATEL #12526,asassn-19cf
27148,ATEL #12526,at2019ano
27149,ATEL #12526,at2019aos
27150,ATEL #12526,at2019aja
27151,ATEL #12526,at2019xyz
27152,ATEL #12528,m81
27153,ATEL #12528,PNV J09552538+6906044
27154,ATEL #12529,ztf17aaazdba
27155,ATEL #12529,KUG 0810+227
27156,ATEL #12529,asassn-19dj
27157,ATEL #12529,at2019azh
27158,ATEL #12530,atlas19djo
27159,ATEL #12530,sn2019axz
